Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
Northern America,610144,775419,1019706,696254,426384,714900,1086344,2.2098333353132626,2.3257257112185292,2.527046324250972,1.5348412923701664,0.8365250098482738,1.2850184375610187,1.8523177211934656,4.7941706707332585,5.477322020354515,-7.631101862971904,-9.807483751847455,10.336046481547026,10.4607634077828
Oceania,110670,92440,83235,82168,37794,60487,109308,2.3388325237835197,1.8405957285993413,1.5525352293158046,1.3641437776462908,0.5302426596031247,0.7495343214277571,1.2243382420887272,-3.5998602974102805,-2.0978370592041147,-0.2580400116494201,-15.532311439913125,9.40556212093457,14.793527990902438
Sustainable Development Goal (SDG) regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SUB-SAHARAN AFRICA,4494798,5076802,3080836,2583693,2329503,5469929,5932280,33.83021706277145,35.56319852064774,23.426221229970217,18.166280024856448,14.69167761524769,25.63548593444176,25.16505302461643,2.4352161540553645,-9.989610941376387,-3.5196243582851365,-2.071296614173858,17.072213927108955,2.028574708018147
Eastern Africa,3177187,2028623,1696779,1438330,1080283,2638662,3829905,53.31581527199282,40.7546823356592,35.005928263778955,30.199144749840272,22.705042708977217,39.28612478716669,48.429688464192,-8.972779527029509,-3.572509796196806,-3.30498059173265,-5.7251934904007165,17.860978533064074,9.314200705167986
Burundi,267929,173017,27136,20681,29365,47805,65911,80.43258983518957,67.8889398986867,21.600280192313814,11.963048231660053,12.481987936699552,16.495290017597735,20.53187048701319,-8.746643289456811,-37.05057191912927,-5.432917104779065,7.0117616920788715,9.746534951258532,8.029377765416092
Comoros,0,5,10,5,0,0,0,0,0.035870578951144275,0.07246901949416625,0.03785297902944962,0,0,0,..,13.862943611198904,-13.862943611198904,..,..,..
Djibouti,54508,27310,23257,10456,15104,22006,26895,44.59790052445979,27.3718604045142,23.13968181320704,11.35398681738715,14.869800639921241,19.58683055780545,23.317814133742555,-13.821890888039212,-3.212935469949895,-15.988603713323963,7.3556726616244825,7.5271106808915205,5.015631306937123
Eritrea,0,1083,1984,4418,4809,2550,2392,0,8.733870967741936,15.31809759110562,30.864887522705043,30.677468742026026,15.996487045982057,14.85622011055214,..,12.107600816876552,16.01144192270489,1.696041145952003,-12.687916062503819,-1.5990880770487381
Ethiopia,741965,393479,197959,100817,155323,738217,891990,64.21771003730342,48.76404132337924,32.3788322887089,19.604971978173698,27.309634495418006,63.549441221994385,71.18363268833748,-12.685487460548654,-13.739355213414619,-13.495058926687856,8.643996548572401,31.17461999361152,4.730427560866689
Kenya,14249,234665,214819,267731,430871,593881,488368,4.780116005622482,37.92596303808516,30.348010601086102,34.6194627557367,45.120925727151345,52.701071803181506,46.74031012945349,56.02944472756665,-1.7672630418593664,4.403738639858398,9.516519925342628,6.417404424663273,-4.890243564193365
Madagascar,0,0,50,0,0,22,86,0,0,0.2123953952678306,0,0,0.06858924395947,0.2461785080437396,..,..,..,..,..,34.0826210723798
