Year,Destination,0-4_(mf),5-9_(mf),10-14_(mf),15-19_(mf),20-24_(mf),25-29_(mf),30-34_(mf),35-39_(mf),40-44_(mf),45-49_(mf),50-54_(mf),55-59_(mf),60-64_(mf),65-69_(mf),70-74_(mf),75+_(mf),Total_(mf),0-4_(m),5-9_(m),10-14_(m),15-19_(m),20-24_(m),25-29_(m),30-34_(m),35-39_(m),40-44_(m),45-49_(m),50-54_(m),55-59_(m),60-64_(m),65-69_(m),70-74_(m),75+_(m),Total_(m),0-4_(f),5-9_(f),10-14_(f),15-19_(f),20-24_(f),25-29_(f),30-34_(f),35-39_(f),40-44_(f),45-49_(f),50-54_(f),55-59_(f),60-64_(f),65-69_(f),70-74_(f),75+_(f),Total_(f)
1990,WORLD,4767961,6176471,7729769,9753361,12686057,15236178,15668609,14664089,13081725,10849200,9042637,7858976,7005151,5525812,4520166,8444365,153011473,2387166,3113476,3936474,5006197,6585416,8097789,8382087,7800164,6887924,5646959,4610791,3865126,3302502,2548066,1976304,3514762,77661689,2380795,3062995,3793295,4747164,6100641,7138389,7286522,6863925,6193801,5202241,4431846,3993850,3702649,2977746,2543862,4929603,75349784
1990,UN development groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,More developed regions,1218097,2336625,3515354,4778797,6542209,8045985,8542059,8310771,7701835,6502119,5447375,4770244,4225745,3270588,2684301,4874344,82767216,626384,1198107,1809115,2469606,3374643,4132499,4348855,4196128,3855864,3223255,2655534,2246129,1890906,1444887,1116340,1838170,40426798,591713,1138518,1706239,2309191,3167566,3913486,4193204,4114643,3845971,3278864,2791841,2524115,2334839,1825701,1567961,3036174,42340418
1990,Less developed regions,3549864,3839846,4214415,4974564,6143848,7190193,7126550,6353318,5379890,4347081,3595262,3088732,2779406,2255224,1835865,3570021,70244257,1760782,1915369,2127359,2536591,3210773,3965290,4033232,3604036,3032060,2423704,1955257,1618997,1411596,1103179,859964,1676592,37234891,1789082,1924477,2087056,2437973,2933075,3224903,3093318,2749282,2347830,1923377,1640005,1469735,1367810,1152045,975901,1893429,33009366
1990,Least developed countries,1016860,1130722,1102576,1206354,1247151,1162006,950531,755114,594094,458345,397828,328515,294415,163608,105914,146188,11060221,506956,568312,558286,598773,602832,567613,473152,384185,304569,237091,207615,172460,152424,85505,54720,75740,5550233,509904,562410,544290,607581,644319,594393,477379,370929,289525,221254,190213,156055,141991,78103,51194,70448,5509988
1990,"Less developed regions, excluding least developed countries",2533004,2709124,3111839,3768210,4896697,6028187,6176019,5598204,4785796,3888736,3197434,2760217,2484991,2091616,1729951,3423833,59184036,1253826,1347057,1569073,1937818,2607941,3397677,3560080,3219851,2727491,2186613,1747642,1446537,1259172,1017674,805244,1600852,31684658,1279178,1362067,1542766,1830392,2288756,2630510,2615939,2378353,2058305,1702123,1449792,1313680,1225819,1073942,924707,1822981,27499378
1990,World Bank income groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,High-income countries,1674134,2461620,3095557,4099381,6131720,8143058,8735529,7995994,7153211,5719526,4890747,4167149,3742296,3018649,2396273,4378024,77802868,834355,1241773,1584461,2136631,3245520,4441560,4793728,4341807,3818365,3009740,2516251,2074201,1773017,1410234,1056014,1712417,39990074,839779,1219847,1511096,1962750,2886200,3701498,3941801,3654187,3334846,2709786,2374496,2092948,1969279,1608415,1340259,2665607,37812794
1990,Middle-income countries,2255675,2785458,3723178,4715210,5528531,6006142,5942273,5850966,5291356,4645095,3758720,3391502,3000450,2328643,1998543,3902624,65124366,1139114,1406495,1895398,2411347,2848180,3128257,3094011,3042440,2738260,2384581,1888322,1634081,1397220,1049800,859972,1721658,32639136,1116561,1378963,1827780,2303863,2680351,2877885,2848262,2808526,2553096,2260514,1870398,1757421,1603230,1278843,1138571,2180966,32485230
1990,Upper-middle-income countries,1355373,1707692,2291064,2714476,3073776,3230008,3095917,3008990,2665354,2305545,1752327,1694314,1479351,1015975,732120,1163267,33285549,684369,867628,1176319,1413216,1631736,1737021,1658954,1596596,1401191,1195762,884080,805198,678995,437147,280747,423125,16872084,671004,840064,1114745,1301260,1442040,1492987,1436963,1412394,1264163,1109783,868247,889116,800356,578828,451373,740142,16413465
1990,Lower-middle-income countries,900302,1077766,1432114,2000734,2454755,2776134,2846356,2841976,2626002,2339550,2006393,1697188,1521099,1312668,1266423,2739357,31838817,454745,538867,719079,998131,1216444,1391236,1435057,1445844,1337069,1188819,1004242,828883,718225,612653,579225,1298533,15767052,445557,538899,713035,1002603,1238311,1384898,1411299,1396132,1288933,1150731,1002151,868305,802874,700015,687198,1440824,16071765
1990,Low-income countries,825556,906183,881682,911984,1002348,1057065,957628,784899,611870,465379,378888,291718,256494,174706,123091,160747,9790238,407167,453251,441504,444277,479644,512982,477934,399657,318152,242555,198446,152145,129026,85909,59139,79428,4881216,418389,452932,440178,467707,522704,544083,479694,385242,293718,222824,180442,139573,127468,88797,63952,81319,4909022
1990,No income group available,12596,23210,29352,26786,23458,29913,33179,32230,25288,19200,14282,8607,5911,3814,2259,2970,294001,6530,11957,15111,13942,12072,14990,16414,16260,13147,10083,7772,4699,3239,2123,1179,1259,151263,6066,11253,14241,12844,11386,14923,16765,15970,12141,9117,6510,3908,2672,1691,1080,1711,142738
1990,Geographic regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,Africa,1339998,1421589,1345088,1516339,1744120,1774652,1523443,1237120,967240,739417,603075,472903,414410,238215,150696,201183,15689666,660378,702317,661979,740237,874461,942914,843712,706812,561348,431914,347635,266892,225599,127795,79626,105398,8279127,679620,719272,683109,776102,869659,831738,679731,530308,405892,307503,255440,206011,188811,110420,71070,95785,7410539
1990,Asia,1923164,2064679,2493638,3070939,4007727,4993169,5137167,4634597,3913441,3170107,2598531,2243956,1987138,1653252,1421010,2897434,48209949,950725,1031119,1275523,1605267,2145249,2817103,2958597,2653677,2214045,1762400,1397618,1154219,990558,788760,650551,1362048,25757459,972439,1033560,1218115,1465672,1862478,2176066,2178570,1980920,1699396,1407707,1200913,1089737,996580,864492,770459,1535386,22452490
1990,Europe,775738,1497445,2306560,2957373,3750360,4517125,4903926,4993691,4590914,3991623,3329514,3018906,2622264,2013018,1653491,2685515,49608231,400001,767951,1181081,1505584,1890385,2281408,2485843,2537006,2323767,1998523,1636988,1422118,1157812,877383,678961,974201,24119388,375737,729494,1125479,1451789,1859975,2235717,2418083,2456685,2267147,1993100,1692526,1596788,1464452,1135635,974530,1711314,25488843
1990,Latin America and the Caribbean,321908,396695,423855,452616,497319,538923,554927,555850,562253,486504,431185,399845,397076,377324,275426,489665,7161371,167445,203464,213859,222540,240818,261233,273859,279491,287413,252998,227601,210959,204401,192412,135737,218648,3592878,154463,193231,209996,230076,256501,277690,281068,276359,274840,233506,203584,188886,192675,184912,139689,271017,3568493
1990,Northern America,349348,667706,993982,1550013,2390737,3012300,3093892,2785864,2549376,2023362,1718802,1417291,1309802,994837,838114,1914982,27610408,178780,342417,517652,826262,1284902,1596477,1591238,1393380,1243936,967679,805321,646147,575613,434736,344076,748610,13497226,170568,325289,476330,723751,1105835,1415823,1502654,1392484,1305440,1055683,913481,771144,734189,560101,494038,1166372,14113182
1990,Oceania,57805,128357,166646,206081,295794,400009,455254,456967,498501,438187,361530,306075,274461,249166,181429,255586,4731848,29837,66208,86380,106307,149601,198654,228838,229798,257415,233445,195628,164791,148519,126980,87353,105857,2415611,27968,62149,80266,99774,146193,201355,226416,227169,241086,204742,165902,141284,125942,122186,94076,149729,2316237
